participant_id,video_id,split
P01,P01_01,train
P01,P01_02,train
P01,P01_03,train
P01,P01_04,train
P01,P01_05,train
P01,P01_06,train
P01,P01_07,train
P01,P01_08,train
P01,P01_09,train
P01,P01_10,train
P01,P01_16,train
P01,P01_17,train
P01,P01_18,train
P01,P01_19,train
P02,P02_01,train
P02,P02_02,train
P02,P02_03,train
P02,P02_04,train
P02,P02_05,train
P02,P02_06,train
P02,P02_07,train
P02,P02_08,train
P02,P02_09,train
P02,P02_10,train
P02,P02_11,train
P03,P03_02,train
P03,P03_03,train
P03,P03_04,train
P03,P03_05,train
P03,P03_06,train
P03,P03_07,train
P03,P03_08,train
P03,P03_09,train
P03,P03_10,train
P03,P03_11,train
P03,P03_12,train
P03,P03_13,train
P03,P03_14,train
P03,P03_15,train
P03,P03_16,train
P03,P03_17,train
P03,P03_18,train
P03,P03_19,train
P03,P03_20,train
P03,P03_27,train
P03,P03_28,train
P04,P04_01,train
P04,P04_02,train
P04,P04_03,train
P04,P04_04,train
P04,P04_05,train
P04,P04_06,train
P04,P04_07,train
P04,P04_08,train
P04,P04_09,train
P04,P04_10,train
P04,P04_11,train
P04,P04_12,train
P04,P04_13,train
P04,P04_14,train
P04,P04_15,train
P04,P04_16,train
P04,P04_17,train
P04,P04_18,train
P04,P04_19,train
P04,P04_20,train
P04,P04_21,train
P04,P04_22,train
P04,P04_23,train
P05,P05_01,train
P05,P05_02,train
P05,P05_03,train
P05,P05_04,train
P05,P05_05,train
P05,P05_06,train
P05,P05_08,train
P06,P06_01,train
P06,P06_02,train
P06,P06_03,train
P06,P06_05,train
P06,P06_07,train
P06,P06_08,train
P06,P06_09,train
P07,P07_01,train
P07,P07_02,train
P07,P07_03,train
P07,P07_04,train
P07,P07_05,train
P07,P07_06,train
P07,P07_07,train
P07,P07_08,train
P07,P07_09,train
P07,P07_10,train
P07,P07_11,train
P08,P08_01,train
P08,P08_02,train
P08,P08_03,train
P08,P08_04,train
P08,P08_05,train
P08,P08_06,train
P08,P08_07,train
P08,P08_08,train
P08,P08_11,train
P08,P08_12,train
P08,P08_13,train
P08,P08_18,train
P08,P08_19,train
P08,P08_20,train
P08,P08_21,train
P08,P08_22,train
P08,P08_23,train
P08,P08_24,train
P08,P08_25,train
P08,P08_26,train
P08,P08_27,train
P08,P08_28,train
P10,P10_01,train
P10,P10_02,train
P10,P10_04,train
P12,P12_01,train
P12,P12_02,train
P12,P12_04,train
P12,P12_05,train
P12,P12_06,train
P12,P12_07,train
P13,P13_04,train
P13,P13_05,train
P13,P13_06,train
P13,P13_07,train
P13,P13_08,train
P13,P13_09,train
P13,P13_10,train
P14,P14_01,train
P14,P14_02,train
P14,P14_03,train
P14,P14_04,train
P14,P14_05,train
P14,P14_07,train
P14,P14_09,train
P15,P15_01,train
P15,P15_02,train
P15,P15_03,train
P15,P15_07,train
P15,P15_08,train
P15,P15_09,train
P15,P15_10,train
P15,P15_11,train
P15,P15_12,train
P15,P15_13,train
P16,P16_01,train
P16,P16_02,train
P16,P16_03,train
P17,P17_01,train
P17,P17_03,train
P17,P17_04,train
P19,P19_01,train
P19,P19_02,train
P19,P19_03,train
P19,P19_04,train
P20,P20_01,train
P20,P20_02,train
P20,P20_03,train
P20,P20_04,train
P21,P21_01,train
P21,P21_03,train
P21,P21_04,train
P22,P22_05,train
P22,P22_06,train
P22,P22_07,train
P22,P22_08,train
P22,P22_09,train
P22,P22_10,train
P22,P22_11,train
P22,P22_12,train
P22,P22_13,train
P22,P22_14,train
P22,P22_15,train
P22,P22_16,train
P22,P22_17,train
P23,P23_01,train
P23,P23_02,train
P23,P23_03,train
P23,P23_04,train
P24,P24_01,train
P24,P24_02,train
P24,P24_03,train
P24,P24_04,train
P24,P24_05,train
P24,P24_06,train
P24,P24_07,train
P24,P24_08,train
P25,P25_01,train
P25,P25_02,train
P25,P25_03,train
P25,P25_04,train
P25,P25_05,train
P25,P25_09,train
P25,P25_10,train
P25,P25_11,train
P25,P25_12,train
P26,P26_01,train
P26,P26_02,train
P26,P26_03,train
P26,P26_04,train
